#name	mag	H	dist	a	e	inc
L4v08	23.22	6.25	49.685	62.193747	0.428055	8.024
mal08	23.95	9.02	31.226	62.430542	0.499834	22.04
mal23	23.97	8.29	37.042	61.841493	0.433397	26.582
mal62	23.9	6.75	52.005	62.44225	0.404531	40.4
o3l78	23.76	6.83	48.364	62.507341	0.28653	32.857
o5d041	24.06	8.19	38.58	63.026528	0.441204	0.812
o5d049	24.94	8.97	39.548	62.722176	0.481067	6.03
o5m48	24.68	8.56	40.541	62.646269	0.435875	8.997
o5p057	24.28	8.19	40.666	62.63295	0.387245	17.958
o5s39	25.06	8.8	41.325	62.607822	0.427721	11.344
o5t54	24.94	6.58	67.478	62.206099	0.444265	5.827
